X,Y,Establishment_ID,Name,Address,Zip_Code,Owner,License_Number,License_Type,Most_Recent_License_Date,Establishment_Type,Status,Restaurant_Complexity_Level,Review_Frequency_in_Days,ObjectId
-83.1105430672616,42.3271172382641,1568,Academy of the Americas (Middle),5680 Konkel St,4821,Detroit Board of Education,035816,Fixed Establishment,2020/06/01 00:00:00+00,Public School,Open,Medium,210,19
-83.2322759570138,42.443847271396,2455,Ace of Spades,19245 W Eight Mile Rd,48219,BFC Management Co/Masoud Sesi,043616,Fixed Establishment,2019/03/21 00:00:00+00,Food Service Establishment,Open,Medium,180,20
-83.2322759570138,42.443847271396,51623143,Ace of Spades,19245 W Eight Mile Rd,48219,Justin Kallo,241574,Fixed Establishment,2020/01/20 00:00:00+00,Food Service Establishment,Open,High,180,21
-83.1680406991174,42.390923491522,4877,AC's Hot Dog Express #1,14155 Manor St,48238,AC's Ice Cream LLC,039800,Special Transitory Food Unit,2015/03/30 00:00:00+00,LHD - Special Transitory Food,Seasonal,Medium,365,22
-83.2249272870354,42.3430625071903,442,Adam's Apple,18931 W Warren Ave,48228,Patrick Carolan,078795,Fixed Establishment,1970/01/01 00:00:00+00,Food Service Establishment,Open,Medium,365,23
-83.1639954704086,42.3951965268511,3444,Adams-Butzel Recreation Center,10500 Lyndon Ave,48238,Detroit Parks and Recreation,073411,Fixed Establishment,1970/01/01 00:00:00+00,Food Service Establishment,Open,Medium,365,24
-83.1751220053144,42.41524114633,51623089,Adams Young Academy,13130 Grove St,48235,Cornerstone Education Group,241596,Fixed Establishment,2020/05/15 00:00:00+00,Non-Public School,Open,High,210,25
-83.1184816581922,42.3308492839749,3553,Adi's Coney Island ,6171 Michigan Ave,4821,Admirim Avdoll,203409,Fixed Establishment,1970/01/01 00:00:00+00,Food Service Establishment,Permanently Closed,,180,26
-83.1172224456409,42.3696680435943,2820,A Eagles Coney Island,9122 Dexter Ave,48206,Filip Skelaj,250427,Fixed Establishment,2019/04/16 00:00:00+00,Food Service Establishment,Open,Medium,365,27
-83.1723143164023,42.4019909125978,766,Akbar's Coffee Shop,12943 Fenkell Ave,48227,Catherine Ivory,034779,Fixed Establishment,2017/05/17 00:00:00+00,Food Service Establishment,Open,,180,28
-83.0226436129049,42.38780246105,2695,Akebulan Village,7701 Harper Ave,48213,Marvis Cofield,046710,Fixed Establishment,2019/04/29 00:00:00+00,Food Service Establishment,Open,Medium,365,29
-83.2662144611614,42.3999538773999,51623042,Alani's Soul Kitchen,22735 Fenkell Ave,48223,Alexander B. Rivers,238078,Fixed Establishment,2019/06/17 00:00:00+00,,Open,,365,30
-83.1368472443571,42.3308849273417,758,Alaskan Bar Homestead #3,7625 Michigan Ave,4821,Bosko S. Marcevski,034767,Fixed Establishment,2020/06/01 00:00:00+00,Food Service Establishment,Open,Medium,365,31
-83.1143627505621,42.3583877446564,4023,Albano Coney Island/DBA Apollo,7635 Grand River Ave,48204,Zef Gega,066448,Fixed Establishment,2019/05/06 00:00:00+00,Food Service Establishment,Open,Medium,210,32
-83.0580058255053,42.4089946685724,4115,Al Baraka Restaurant,3611 Carpenter St,48212,Mohammed N Ahmed,075685,Fixed Establishment,2017/04/27 00:00:00+00,Food Service Establishment,Permanently Closed,,180,33
-83.0486465031389,42.3356963002611,51622594,Albena- Taste Everything LLC,1509 Broadway St,48226,Garrett Lipar,229298,Fixed Establishment,2019/04/26 00:00:00+00,Food Service Establishment,Open,High,180,34
-83.1125284419559,42.3027416707574,51623043,Alfa Coney And Grill,7145 W Fort St,48209,Kol Dushi,249482,Fixed Establishment,2020/06/16 00:00:00+00,Food Service Establishment,Open,,180,35
-83.0148514285011,42.3945718434685,1643,A. L. Holmes Elementary,8950 Crane St,48213,Detroit Board of Education,035974,Fixed Establishment,2019/04/15 00:00:00+00,Public School,Open,Medium,210,36
-83.054171517632,42.405028724147,5421,Ali's Pizza,11608 Conant St,48212,Aktar Ali,226563,Fixed Establishment,1970/01/01 00:00:00+00,Food Service Establishment,Open,High,180,37
-83.0485863492525,42.330578970963,51622867,Allenby/Fort Street Galley,160 W Fort St,48226,Michael Goldberg,238180,Fixed Establishment,2019/04/29 00:00:00+00,Food Service Establishment,Permanently Closed,High,180,38
-83.0638174528797,42.3504718637271,5380,Alley Taco,418 Willis St,48201,Jason Frenkel,217917,Fixed Establishment,2019/04/23 00:00:00+00,Food Service Establishment,Permanently Closed,High,180,39
-83.1181043981122,42.3009077400195,3800,All Saints Soup Kitchen,7824 W Fort Street ,48209,James R. Duprey,075124,Fixed Establishment,2020/06/30 00:00:00+00,Food Service Establishment,Open,,365,40
-83.1985081031257,42.3860182069969,5228,All Star Fish & Seafood Inc.,13585 Greenfield Rd,48227,Nagmuddin Pady,203370,Fixed Establishment,1970/01/01 00:00:00+00,Food Service Establishment,Open,High,180,41
-82.9741000473398,42.3898975272438,5227,Al Namer Fish & Seafood #2 LLC,12332 E Warren,48215,,103134,Fixed Establishment,1970/01/01 00:00:00+00,Food Service Establishment,Open,High,180,42
-83.0504215310212,42.3355874040708,4975,Aloft Detroit W XYZ,1 Park Ave,48226,Whitney Master Tenant LLC,079648,Fixed Establishment,2020/06/05 00:00:00+00,Food Service Establishment,Open,Medium,365,43
-83.2178455747999,42.4203779560098,51623270,Al's Soul Food Restaurant,8000 W Outer Drive,48235,Christine Hamama,PS072720,Fixed Establishment,1970/01/01 00:00:00+00,Food Service Establishment,Plan Review,,90.0,44
-83.2135253771726,42.3436455952925,51622496,Amazing Grill LLC,17044 W Warren Ave,48228,Sadek Ahmed,221002,Fixed Establishment,1970/01/01 00:00:00+00,Food Service Establishment,Open,High,180,45
-83.0726604972827,42.4331612250429,1751,Ambiance,2959 E Seven Mile Rd,48234,Dennis Rabchun,036155,Fixed Establishment,2016/04/27 00:00:00+00,Food Service Establishment,Open,,365,46
-83.089500122461,42.3160253942161,4176,Amelia Earhart Elementary/Middle School,1000 Scotten St,48209,Detroit Public Schools- Brd of,075684,Fixed Establishment,2020/06/01 00:00:00+00,Public School,Plan Review,,210,47
-83.0673431032147,42.3878832872537,3650,American Axle,1 Dauch Dr,48211,Continental Cafe LLC,220259,Fixed Establishment,2020/05/19 00:00:00+00,Food Service Establishment,Open,High,180,48
-83.0624038944913,42.3900406036013,51622689,American Axle Plant #6,2020 Holbrook Ave,48212,Continental Services,237174,Fixed Establishment,2019/04/29 00:00:00+00,Food Service Establishment,Open,High,180,49
-83.3080806300308,42.2944556500751,219,"American Coney Island, Inc.",115 Michigan Ave,48226,Charles J. Keros,033843,Fixed Establishment,2019/04/29 00:00:00+00,Food Service Establishment,Open,High,180,50
-83.0240560807385,42.4421203720613,564,American Serbian Memorial Hall,19940 Van Dyke Ave,48234,Serbian Orthodox Church,034433,Fixed Establishment,2019/04/25 00:00:00+00,Food Service Establishment,Open,Medium,365,51
-83.0901444929974,42.3223013946523,1307,Amicci's Pizza,3849 W Vernor,48216,"Grossi-Scola, Inc.",035425,Fixed Establishment,2020/05/22 00:00:00+00,Food Service Establishment,Open,,365,52
-83.2563695886041,42.4006138748788,51623116,AM Krispy Krunchy Chicken,21740 Fenkell Ave,48223,Alaam Saleh Fadel,249323,Fixed Establishment,2020/04/16 00:00:00+00,Food Service Establishment,Open,,90.0,53
-83.0417894649458,42.3509362750001,51622579,Amore Da Roma,3401 Riopelle St,48207,Guy Pelino,237184,Fixed Establishment,2020/07/14 00:00:00+00,Food Service Establishment,Open,High,180,54
-83.0158934347048,42.3762705197318,1548,Anani ,7636 Gratiot Ave,48213,Mr. Omar Anani,249310,Fixed Establishment,2020/05/06 00:00:00+00,Food Service Establishment,Open,,365,55
-83.2858057284629,42.4283024725681,51623222,A & N Chicken & Seafood,24761 7 Mile Rd W,48219,Abdulwasee Kassem,NEW,Fixed Establishment,2007/05/01 00:00:00+00,Food Service Establishment,,,180,56
-83.0518224384354,42.3291636641058,1597,Anchor Bar,450 W Fort St,48226,Vaughn H. Derderian,035870,Fixed Establishment,1970/01/01 00:00:00+00,Food Service Establishment,Open,High,180,57
-83.0518224384354,42.3291636641058,51622912,Anchor Bar ,450 W Fort St,48226,The Elia Group,238103,Fixed Establishment,2019/05/01 00:00:00+00,Food Service Establishment,Open,High,180,58
-83.0397650584525,42.3290278798544,5109,Andiamo Concert Venue,400 Renaissance Center,48234,Joseph P. Vicarri,238138,Fixed Establishment,2019/04/22 00:00:00+00,Food Service Establishment,Open,Low,365,59
-83.0397650584525,42.3290278798544,4279,Andiamo Pizza Pie Company,100 Renassiance Center ,48243,"NVA, Inc.",070456,Fixed Establishment,2019/05/15 00:00:00+00,Food Service Establishment,Open,Medium,365,60
-83.0397650584525,42.3290278798544,3389,Andiamo Riverfront,400 Renaissance Center,48243,Joseph Vicari,054053,Fixed Establishment,2019/04/22 00:00:00+00,Food Service Establishment,Open,High,180,61
-83.0180210971502,42.3364465352972,1247,Andrew's on the Corner,201 Joseph Campau Ave,48207,Tom Woolsey,035350,Fixed Establishment,2020/05/08 00:00:00+00,Food Service Establishment,Open,,365,62
-83.0494677528531,42.3360834818686,3706,Angelina Italian Bistro,1565 Broadway,48226,Michael Viviano,061140,Fixed Establishment,2017/04/26 00:00:00+00,Food Service Establishment,Permanently Closed,,180,63
-83.1393617339402,42.3313649088107,3198,Angel's Place,7824 Michigan Ave,4821,Angel M. Cancel,075128,Fixed Establishment,1970/01/01 00:00:00+00,Food Service Establishment,Open,,180,64
-83.0465520711725,42.3284170074816,51622608,Anita's Kitchen,150 W Jefferson Ave,48226,Joe & Jennifer Wegrzyn,229223,Fixed Establishment,2020/05/22 00:00:00+00,Food Service Establishment,Permanently Closed,High,180,65
-83.2610080934726,42.3470305210238,1236,Ann Arbor Trail Magnet School,7635 Chatham St,48228,Detroit Board of Education,078729,Fixed Establishment,1970/01/01 00:00:00+00,Public School,Open,,210,66
-83.122217609525,42.3620320651071,51623055,Anna's Soul Food,8560 Grand River,48204,Kevin Helton,070819KG,Fixed Establishment,2019/07/08 00:00:00+00,Food Service Establishment,Open,High,180,67
-83.0513008846663,42.3368669026441,51622694,Annex,24 W Adams St,48226,,226478,Fixed Establishment,2019/04/02 00:00:00+00,Food Service Establishment,Open,,365,68
-83.0381603403683,42.3438101306337,4461,Antietam,1428 Gratiot Ave,48207,Greg Holm,078537,Fixed Establishment,2017/05/02 00:00:00+00,Food Service Establishment,Permanently Closed,,180,69
-83.0974305306376,42.3187242505753,5402,Antojitos Los Tres Hermanos,4627 W Vernor,48209,Obed Hernandez,210879,Fixed Establishment,2020/07/31 00:00:00+00,Food Service Establishment,,,180,70
-82.987699180692,42.4197603651291,51622627,Antonio's Pizzeria & Grill,12740 Gratiot Ave,48205,Brigitte Yousif Inc.,ps092017,Fixed Establishment,1970/01/01 00:00:00+00,Food Service Establishment,Permanently Closed,,90.0,71
-83.0811279713367,42.4474191896397,4475,Applebee's #7833,2111 W Eight Mile Rd,48203,TSFR Apple Venture LLC,082195,Fixed Establishment,1970/01/01 00:00:00+00,Food Service Establishment,Open,High,180,72
-83.0947894522612,42.3208962000019,794,Armando's Mexican Restaurant,4242 W Vernor,48209,"Omar's Mexican Restaurant, Inc",034816,Fixed Establishment,2020/05/11 00:00:00+00,Food Service Establishment,Open,High,180,73
-83.0450431117009,42.3368296132091,4897,Asaysia,1452 Brush St,48226,Asaysia LLC,221936,Fixed Establishment,2018/05/30 00:00:00+00,Food Service Establishment,Open,High,180,74
-82.9163442154169,42.4205163122074,3586,Ascension St. John Market,22101 Moross Ave,48224,Ascension St. John Moross,236619,Fixed Establishment,1970/01/01 00:00:00+00,Food Service Establishment,Open,High,180,75
-83.0494677528531,42.3360834818686,5152,Ashe Supply Co.,1555 Broadway St,48226,Aaron Nichols,082998,Fixed Establishment,2019/04/24 00:00:00+00,Food Service Establishment,Plan Review,Medium,365,76
-83.2552984320695,42.4432734515444,51622605,Asian Corned Beef,21639 W Eight Mile Rd,48219,Hason White,221932,Fixed Establishment,2019/04/30 00:00:00+00,Food Service Establishment,Permanently Closed,Medium,180,77
-83.0745126760748,42.4329733959201,1398,Asian Corned Beef,2847 E Seven Mile Rd,48234,Sau White,047906,Fixed Establishment,2016/05/16 00:00:00+00,Food Service Establishment,Permanently Closed,,180,78
-83.1146092177334,42.4324190887046,51622929,Asian Corned Beef,19102 Woodward Ave,48203,Hason White,236622,Fixed Establishment,2019/02/25 00:00:00+00,Food Service Establishment,Open,Medium,180,79
-83.2550555446846,42.4152038304508,5177,Asian Corned Beef,21559 Grand River Ave,48219,Hason White,082855,Fixed Establishment,2019/04/30 00:00:00+00,Food Service Establishment,,Medium,180,80
-82.9848066575794,42.4235625904949,5310,Asian Corned Beef,13240 Gratiot Ave,48205,Hason White,208197,Fixed Establishment,1970/01/01 00:00:00+00,Food Service Establishment,Open,High,180,81
-83.1589519565011,42.3870603471779,4800,Asian Corned Beef,13660 Wyoming St,48238,Sau White,078746,Fixed Establishment,2019/04/30 00:00:00+00,Food Service Establishment,Open,High,180,82
-83.1929510717776,42.4309508312184,4839,Asian Corned Beef,14820 W Seven Mile Rd. ,48235,Hason White,079848,Fixed Establishment,2018/05/08 00:00:00+00,Food Service Establishment,Plan Review,High,180,83
-83.0663439583281,42.4333039382015,51622852,Asian Corned Beef,3741 E Seven MIle Rd,48234,,230563,Fixed Establishment,1970/01/01 00:00:00+00,Food Service Establishment,Open,,180,84
-83.0630721557228,42.3556796095656,2444,Association of Chinese Americans,4750 Woodward Ave,48201,ASSOC OF CHINESE AM,070060,Fixed Establishment,2020/05/07 00:00:00+00,Food Service Establishment,Open,Medium,365,85
-83.1990774203185,42.2275210290168,4306,Astro Coffee,2124 Michigan Ave,48216,Daisuke Hughes,071783,Fixed Establishment,2019/04/29 00:00:00+00,Food Service Establishment,Open,,365,86
-83.1378781689434,42.336710010763,5426,Asty Time Inc.,7340 McGraw Ave,4821,Astiage A. Acosta,238172,Fixed Establishment,2019/04/01 00:00:00+00,Food Service Establishment,Open,High,180,87
-83.0027052500523,42.4181922178299,51622586,A Taste of Motown,11550 Kenmoor St,48205,Derrick Johnson,229340,Special Transitory Food Unit,2019/05/07 00:00:00+00,LHD - Special Transitory Food,Seasonal,Medium,395,88
-83.0426688230825,42.3340836672472,51623029,Atheneum Suites Hotel,1000 Brush St,48226,Jim Papas,249309,Fixed Establishment,2020/03/02 00:00:00+00,Food Service Establishment,Open,High,180,89
-83.0722528678579,42.3693666496494,5183,Atomic Chicken,6500 Woodward Ave,48202,Greg Reyner/Justin R. Polley,217910,Fixed Establishment,2018/08/08 00:00:00+00,Food Service Establishment,Permanently Closed,High,180,90
-83.0186394228316,42.3371565238519,5143,Atwater Brewery,237 Joseph Campau St,48207,Mark Rieth,082483,Fixed Establishment,2020/05/12 00:00:00+00,Food Service Establishment,,High,180,91
-83.2353674740298,42.4073147248668,2344,Auntie Betty's Cafe,19601 Grand River Ave,48223,Betty Neal,043429,Fixed Establishment,2020/05/11 00:00:00+00,Food Service Establishment,Open,,180,92
-83.2738352865349,42.4287550568665,353,Aurora Coney Island,23671 W Seven Mile Rd,48219,Llesh Milici,060748,Fixed Establishment,2019/05/13 00:00:00+00,Food Service Establishment,Open,High,180,93
-83.0769254143841,42.3684466743817,51622570,Avalon Cafe and Biscuit Bar,2998 W Grand Blvd,48202,Jackie Victor,220234,Fixed Establishment,2020/04/22 00:00:00+00,Food Service Establishment,Open,High,180,94
-83.0226542345848,42.3700203186657,51622484,Avalon Commissary,4731 Bellevue St,48207,Jackie Victor,249354,Fixed Establishment,2020/04/22 00:00:00+00,Food Service Establishment,Open,High,180,95
-83.0478813074001,42.3324466444143,5364,Avalon Hearth and Soul Cafe,1049 Woodward Ave,48226,Mission Restaurant Group,212780,Fixed Establishment,2019/04/22 00:00:00+00,Food Service Establishment,Open,High,180,96
-83.0638601165675,42.350458364205,51622811,Avalon International Breads,422 W Willis St,48201,Rebekah Galang,230561,Fixed Establishment,2020/04/22 00:00:00+00,Food Service Establishment,Open,,385,97
-83.1184816581922,42.3308492839749,51622797,Avdolli Adis Coney Island,6171 Michigan Avenue,4821,Albana Avdolli,229359,Fixed Establishment,2019/04/30 00:00:00+00,,Open,,180,98
-83.1524330837068,42.3310677931944,5188,Avenue Grill Plus,8900 McGraw Ave,48228,Jamil Baadani,202875,Fixed Establishment,1970/01/01 00:00:00+00,Food Service Establishment,,High,180,99
-83.2383285951924,42.4371035866198,4423,AVI- Children's Center of Wayne County,19900 Evergreen Rd,48216,"AVI Foodsystems , Inc.",073383,Fixed Establishment,2017/05/04 00:00:00+00,Non-Public School,Permanently Closed,,280,100
-83.04634846981,42.3804279456553,1799,"AVI Food Systems, Inc.",2500 E Grand Blvd,48211,"AVI Food Systems, Inc.",035500,Fixed Establishment,2017/05/05 00:00:00+00,Food Service Establishment,Open,High,180,101
-83.0679652027186,42.3496193194631,51622834,Awake Cafe Coffee and Conversation,4224 Third Ave,48201,Evangelistic Faith Ministries,236360,Fixed Establishment,2020/05/13 00:00:00+00,Food Service Establishment,Open,High,180,102
-83.0660600835118,42.3604946995935,51622966,Babo Detroit,15 E Kirby St,48202,Kris Lelcaj,238153,Fixed Establishment,2020/04/20 00:00:00+00,Food Service Establishment,Open,High,180,103
-83.1405860038235,42.4191854480147,4903,Babyback's Open Pit,17310 Livernois Ave,48221,Elizabeth Harris,078538,Fixed Establishment,2016/08/19 00:00:00+00,Food Service Establishment,Permanently Closed,High,180,104
-83.1439727629374,42.4317681188566,5428,BabyBack's Open Pit,7108 W Seven Mile Rd,48221,Elizabeth Harris,217925,Fixed Establishment,2019/07/15 00:00:00+00,Food Service Establishment,Open,,180,105
-83.1404830182644,42.3999149358013,51623243,Backstreet at Large Multiplex,14925 Livernois Ave,48238,One Tenth LLC/S. Richardson,ps060220,Fixed Establishment,1970/01/01 00:00:00+00,Food Service Establishment,Open,,90.0,106
-83.145955349261,42.2789439221632,5062,Bag Of Bonez,1250 S Beatrice St,48221,Gary Smith/Toia Parks-Smith,039943,Special Transitory Food Unit,2020/06/01 00:00:00+00,LHD - Special Transitory Food,Seasonal,,210,107
-83.1386635839627,42.3745394037037,271,Bailey's Lounge,11700 Livernois Ave,48204,J.T. Bailey,033932,Fixed Establishment,2017/04/25 00:00:00+00,Food Service Establishment,Open,High,180,108
-83.0335677555805,42.3375512869455,1618,Bai Mai Thai Lafayette,1541 E Lafayette Ave,48207,Narongsak Laungphakorn,072155,Fixed Establishment,2019/04/29 00:00:00+00,Food Service Establishment,Open,High,180,109
-83.1415958036277,42.4453736773877,4266,Baker's Keyboard Lounge,20510 Livernois Ave,48221,"Hugh Smith/SB Media, LLC",070299,Fixed Establishment,2020/05/23 00:00:00+00,Food Service Establishment,Open,,180,110
-83.1983093993781,42.3581883033219,1888,BAL Inc/ Touch Lounge,15600-06 Joy Rd,48228,"Backstreet at Large, Inc.",053704,Fixed Establishment,2014/04/29 00:00:00+00,Food Service Establishment,Open,,180,111
-83.0616724242033,42.3442225974866,51622643,Bangkok 96,474 Peterboro Street #103,48201,Detroit Shipping Co.,229201,Fixed Establishment,2019/04/18 00:00:00+00,Food Service Establishment,Open,High,180,112
-83.0415104814563,42.3306372967726,51622815,Bangkok Crossing,333 E Jefferson Ave,48226,Lo Chang,071818jb,Fixed Establishment,2019/04/29 00:00:00+00,Food Service Establishment,Open,High,180,113
-83.0456031124659,42.3307525151076,3194,Bangkok Crossing: Thai Restaurant,620 Woodward Ave,48226,Pheng Xiong,078350,Fixed Establishment,2019/04/29 00:00:00+00,Food Service Establishment,Open,,180,114
-83.1588931195449,42.3912744498211,1688,Banko's Lounge,14168 Wyoming St,48238,"LSY, LLC",078380,Fixed Establishment,1970/01/01 00:00:00+00,Food Service Establishment,Open,Medium,365,115
-83.196604274798,42.3443016319948,258,Barachit Club,7235 Greenfield Rd,48228,Barachit Social Club,033910,Fixed Establishment,1970/01/01 00:00:00+00,Food Service Establishment,Open,Medium,365,116
-82.9858323081567,42.3806607855489,3324,Barack Obama Leadership Academy,10800 E Canfield Rd,48214,Barack Obama Leadership ACADEM,250443,Fixed Establishment,2019/04/26 00:00:00+00,Non-Public School,Open,,210,117
-83.1542974095183,42.3596376361109,1067,Barton Elementary,8530 Joy Rd,48204,Detroit Board of Education,238008,Fixed Establishment,1970/01/01 00:00:00+00,Public School,Open,,210,118
-83.0443583951301,42.3355266590803,5140,Basement Burger Bar,1326 Brush St ,48226,David Azar,208189,Fixed Establishment,2019/04/26 00:00:00+00,Food Service Establishment,Open,High,180,119
-83.0795756313218,42.3528987258383,51623180,Bash Original Izakaya,5069 Trumbull Avenue,48208,Hyoung Kim,249499,Fixed Establishment,2020/06/16 00:00:00+00,Food Service Establishment,Open,High,180,120
-83.0633618866564,42.3285232569473,4939,Batch Brewing Company,1408 Porter St,48216,Stephen Roginson,079876,Fixed Establishment,2020/10/19 00:00:00+00,Food Service Establishment,Open,,365,121
-83.1626179802772,42.4379361078442,825,Bates Academy,19701 Wyoming Ave,48221,Detroit Board Of Education,034856,Fixed Establishment,2020/06/01 00:00:00+00,Public School,Open,,180,122
-83.1622382651016,42.3532796017358,4684,Bate's Hot Dog's LLC,1221 Bowers #1712,48012,Belinda Bates,038298,Mobile Food Establishment,2019/04/24 00:00:00+00,LHD - Mobile Food Establishmen,Seasonal,,210,123
-83.3080806300308,42.2944556500751,4319,Bath Tub Pub,125-29 Michigan Ave,48226,Deone Larkins,221014,Fixed Establishment,2017/06/01 00:00:00+00,Food Service Establishment,Permanently Closed,,365,124
-82.9524472533607,42.3558570136624,424,Bayview Yacht Club,100 Clairpoint St,48215,Bayview Yacht Club Inc.,034187,Fixed Establishment,1970/01/01 00:00:00+00,Food Service Establishment,Temporarily Closed,,180,125
-82.9524472533607,42.3558570136624,51623025,Bayview Yacht - Queen City,100 Clairpointe St,48215,Tim Gardella,247260,Special Transitory Food Unit,2019/12/12 00:00:00+00,LHD - Special Transitory Food,Open,,365,126
-83.1713119510554,42.4309858223975,51623134,BBQ Central,12729 W Seven Mile Rd,48235,Dentia Ramsey,247204,Fixed Establishment,2019/10/15 00:00:00+00,Food Service Establishment,Open,,180,127
-83.0511525799994,42.4334506257919,3086,B & B's Diner,5223 E Seven Mile Rd,48234,Damon Currie,075428,Fixed Establishment,1970/01/01 00:00:00+00,Food Service Establishment,Open,High,180,128
-83.1971775742224,42.4163154177687,51622567,Beauty Cafe dba Detroit Waffle Cafe,15300 W McNichols Rd,48235,Bobby Bailey,238152,Fixed Establishment,2019/05/14 00:00:00+00,Food Service Establishment,Open,High,180,129
-83.0603255567416,42.3928383752349,4453,"Beignet's, LLC",2424 Florian St,48212,"Beignet's, LLC/ Michelle",039316,Special Transitory Food Unit,2019/04/30 00:00:00+00,LHD - Mobile Food Establishmen,Seasonal,,395,130
-83.0155182829708,42.4450014698733,763,Bel Air 10 Theater,10100 E Eight Mile Rd,48234,Bel Air 10 Theater Group 2 Inc,075427,Fixed Establishment,1970/01/01 00:00:00+00,Food Service Establishment,Open,,365,131
-83.1063103367969,42.3201499693127,5104,Bella's Coffee House ,2303 Campbell St,48209,Alida Sanchez,220223,Fixed Establishment,1970/01/01 00:00:00+00,Food Service Establishment,Open,,365,132
-82.9955103959051,42.3346007145395,1258,Belle Isle Casino,1 Casino Way,48207,Dept. of Natural Resources,035362,Fixed Establishment,1970/01/01 00:00:00+00,Food Service Establishment,Seasonal,High,530,133
-83.0010950854826,42.3480209737811,5054,Belle Isle Krispy Crunchy Chicken,7255 E Jefferson Ave,48214,Gamal Alturki,082292,Fixed Establishment,2020/04/14 00:00:00+00,Food Service Establishment,Open,,365,134
-82.9957936436974,42.3510917100114,1870,Belle Isle Pizza (fka) Garalino's Pizza,7869 E Jefferson Ave,48214,leor Barak,082026,Fixed Establishment,2020/05/18 00:00:00+00,Food Service Establishment,Open,,365,135
-82.984211592874,42.3354745825073,51622765,Belle Isles Bites,1 Inselruhe Ave,48207,Sam's Family Concessions,229226,Fixed Establishment,2019/05/24 00:00:00+00,Food Service Establishment,Seasonal,,395,136
